Date,Description,Category,Amount
1/05/2026,Groceries,Food,45.2
2/05/2026,Coffee,Food,6.5
3/05/2026,Lunch,Food,14
4/05/2026,Bus ticket,Transport,4.8
5/05/2026,Train ticket,Transport,5.2
6/05/2026,Uber ride,Transport,22
7/05/2026,Netflix,Subscription,18.99
8/05/2026,Spotify,Subscription,12.99
9/05/2026,Phone bill,Bills,40
10/05/2026,Internet bill,Bills,65
11/05/2026,Clothes,Shopping,55
12/05/2026,Shoes,Shopping,80
13/05/2026,Medicine,Health,18.5
14/05/2026,Gym,Health,30
15/05/2026,Movie ticket,Entertainment,19.5
16/05/2026,Restaurant dinner,Dining,48
17/05/2026,Takeaway,Dining,32.5
18/05/2026,Coffee,Food,6
19/05/2026,Groceries,Food,52.4
20/05/2026,Bus ticket,Transport,4.8
